,x,y,z,mae
0,BTC-ETH,BTC-GBP,1,0.8621573621984305
1,BTC-ETH,BTC-GBP,2,0.7500347333626712
2,BTC-ETH,BTC-GBP,3,0.6234112284060034
3,BTC-ETH,BTC-GBP,4,0.5965894689575395
4,BTC-ETH,BTC-GBP,5,0.5967355864235648
5,BTC-ETH,BTC-GBP,6,0.5999277537124479
6,BTC-ETH,ETH-BTC,1,0.9348178065139945
7,BTC-ETH,ETH-BTC,2,0.8293182088243669
8,BTC-ETH,ETH-BTC,3,0.30621185688340613
9,BTC-ETH,ETH-BTC,4,0.19820312632194168
10,BTC-ETH,ETH-BTC,5,0.1972514427259851
11,BTC-ETH,ETH-BTC,6,0.09740216925176606
12,BTC-ETH,ETH-GBP,1,0.8411153396881803
13,BTC-ETH,ETH-GBP,2,0.7644311447753647
14,BTC-ETH,ETH-GBP,3,0.47204107432991405
15,BTC-ETH,ETH-GBP,4,0.40329525851552195
16,BTC-ETH,ETH-GBP,5,0.39952886430051726
17,BTC-ETH,ETH-GBP,6,0.3935621319555542
18,BTC-ETH,REP-BTC,1,0.784421210689161
19,BTC-ETH,REP-BTC,2,0.6521473571015474
20,BTC-ETH,REP-BTC,3,0.5003015590174559
21,BTC-ETH,REP-BTC,4,0.48706139903327866
22,BTC-ETH,REP-BTC,5,0.47978846340487985
23,BTC-ETH,REP-BTC,6,0.4618766705396505
24,BTC-ETH,REP-ETH,1,0.8030397122573444
25,BTC-ETH,REP-ETH,2,0.6168369671989735
26,BTC-ETH,REP-ETH,3,0.3624581252263348
27,BTC-ETH,REP-ETH,4,0.3542000113182353
28,BTC-ETH,REP-ETH,5,0.34646885264009264
29,BTC-ETH,REP-ETH,6,0.31997461159015267
30,BTC-ETH,REP-GBP,1,0.7675255657092341
31,BTC-ETH,REP-GBP,2,0.7459775101632401
32,BTC-ETH,REP-GBP,3,0.7493762365339486
33,BTC-ETH,REP-GBP,4,0.7437411077236478
34,BTC-ETH,REP-GBP,5,0.7424162729564109
35,BTC-ETH,REP-GBP,6,0.7348418602054835
36,BTC-ETH,XLM-BTC,1,0.7885608502732099
37,BTC-ETH,XLM-BTC,2,0.7898393875334299
38,BTC-ETH,XLM-BTC,3,0.6804151615641263
39,BTC-ETH,XLM-BTC,4,0.6694971365037959
40,BTC-ETH,XLM-BTC,5,0.658306300609817
41,BTC-ETH,XLM-BTC,6,0.640188846439736
42,BTC-ETH,XLM-ETH,1,0.8885027943917576
43,BTC-ETH,XLM-ETH,2,0.7641877613540877
44,BTC-ETH,XLM-ETH,3,0.41046570198882687
45,BTC-ETH,XLM-ETH,4,0.37252462690100674
46,BTC-ETH,XLM-ETH,5,0.36792781988035494
47,BTC-ETH,XLM-ETH,6,0.30004720797376505
48,BTC-ETH,XLM-GBP,1,0.8315536250137958
49,BTC-ETH,XLM-GBP,2,0.7071160314644781
50,BTC-ETH,XLM-GBP,3,0.6899630396612616
51,BTC-ETH,XLM-GBP,4,0.6818462689910475
52,BTC-ETH,XLM-GBP,5,0.675703729866761
53,BTC-ETH,XLM-GBP,6,0.6745112972862498
54,BTC-ETH,SOL-BTC,1,0.8692041018747748
55,BTC-ETH,SOL-BTC,2,0.8272449815075877
56,BTC-ETH,SOL-BTC,3,0.49105021375088226
57,BTC-ETH,SOL-BTC,4,0.3886002745253852
58,BTC-ETH,SOL-BTC,5,0.3825070807134787
59,BTC-ETH,SOL-BTC,6,0.36377670510657
60,BTC-ETH,SOL-ETH,1,0.8739820779228039
61,BTC-ETH,SOL-ETH,2,0.8141836182349842
62,BTC-ETH,SOL-ETH,3,0.5381711034125641
63,BTC-ETH,SOL-ETH,4,0.4484348336492131
64,BTC-ETH,SOL-ETH,5,0.44964996768157117
65,BTC-ETH,SOL-ETH,6,0.4249496975092163
